Comments,DSPM Requirement,Examples,Priority,#,What was discussed,Real World Scenario
,Lack of logging/monitoring for sensitive data access,No CloudTrail/Activity Logs/Azure Monitor/Cloud Audit Logs enabled for access.,High,11,Supported. Correlates sensitive data stores with available cloud monitoring signals and flags if logging/monitoring is missing.,"A storage bucket holding archived wire transfer records has CloudTrail or Azure object-level logging disabled, meaning no one knows who accessed it last week."
,IAM misconfigurations giving broad group/user access,"AD groups, GCP IAM bindings, AWS IAM groups with excessive data access.",High,12,"Supported. Inspects ACLs to see who has access, allowing for detailed access reporting.",A service account designed for an automated reporting pipeline is given 'Owner' permissions across the entire cloud tenant rather than just read access to the specific data lake.
,Data movement outside approved networks,Sensitive data stores accessible from untrusted networks/IPs.,High,13,Partially supported. DSPM is primarily focused on data at rest; data in motion use cases are better covered by Proofpoint's DLP platform.,Customer data is accessed by an administrative account from an IP address block bypassing VPN routing requirements established by the Azure Virtual Network Manager (AVNM).
,Sensitive data without classification tags,No labeling/tagging for PII/PCI across datasets.,Medium,14,Supported. Can automatically reclassify data if it lacks a classification tag.,"A newly created folder in SharePoint meant to hold pre-release earnings reports has no sensitivity labels applied, allowing it to bypass DLP rules."
,Encryption with weak/default keys,Relying solely on CSP-managed default keys instead of CMK where policy requires CMK.,Medium,15,"Supported. Can identify if default/CSP keys (like Amazon's keys) are used instead of customer-managed keys, and flags it as a risk.",A storage account holding sensitive internal M&A documents is encrypted using default CSP keys rather than the enterprise's mandated Customer-Managed Keys (CMK).
,Inactive identities with access to sensitive data,User/service accounts dormant >90 days but retaining access.,Medium,16,Supported. Correlates with ACLs to flag users who haven't logged in within 90 days but still have access to sensitive data.,"A former vendor's account, which hasn't logged in for 6 months, still retains active read permissions to the cloud financial forecasting model."
,Inconsistent backup and retention for sensitive datasets,Missing or misaligned retention policies for PCI/PII data.,Medium,17,"Partially supported. Can identify datasets that should be governed, but actual backup validation depends on the underlying backup tool.","A repository of historical trading data is only retained for 1 year, violating regulations that mandate a 7-year retention policy for that specific data class."
,Sensitive data accessible by over-privileged service accounts,"Functions, pipelines, or automation accounts with broad data access.",Medium,18,Supported. Highlights sensitive assets exposed to service accounts or excessively large groups.,"A GitHub Actions runner is assigned an over-privileged service principal that can read all Blob storage containers, not just the one required for its deployment job."
,Unnecessary sensitive data copies,Multiple redundant storage of sensitive data in different accounts/projects.,Low,19,Low priority. Handled similarly to shadow copies/duplicates (#9).,"Three identical copies of a high-value customer contact list exist across SharePoint, a Google Workspace drive, and an old Azure File Share."
,Unlabeled/unknown data stores,Databases/storage accounts without owner or business context tags.,Low,20,"Not supported out-of-the-box, but users can implement it by building a custom risk policy.",The security team discovers an orphaned RDS instance that was spun up by a former employee two years ago and contains an unknown cache of user emails.
,Over-retention of sensitive data,Sensitive datasets retained beyond business/regulatory need.,Low,21,"Currently not available, but slated as a Q3 feature on the roadmap.","Customer data from a marketing campaign from 2018 is still being kept in an active database, violating the company's 3-year data destruction policy."
,Non-standard encryption methods,"Non-aligned encryption algorithms across multi-cloud (e.g., AES-128 instead of AES-256).",Low,22,Not primarily a DSPM function; this relates more to crypto standards enforced by compliance.,"A legacy script encrypts files using outdated AES-128 before uploading them to the cloud, failing to meet the modern AES-256 standard required by enterprise architecture."
,Overlapping data access policies,Multiple IAM bindings/policies leading to complexity and potential drift.,Low,23,"Low priority. Discussed briefly regarding multiple bindings and IGA vs DBMS, marked as low priority.","A user has restricted access to a folder via Azure AD group policies, but an overarching IAM role gives them full read access to the entire underlying storage bucket, creating a permission conflict."
